"codigo_serventia";"descricao_serventia";"iad1";"iad2"
67980;"1ª ZONA ELEITORAL";2,92857142857143;NA
67982;"3ª ZONA ELEITORAL";4;NA
67983;"4ª ZONA ELEITORAL";0,666666666666667;NA
67984;"5ª ZONA ELEITORAL";1,81818181818182;NA
67985;"6ª ZONA ELEITORAL";1;NA
67986;"7ª ZONA ELEITORAL";18,5;NA
67987;"8ª ZONA ELEITORAL";0,666666666666667;NA
67989;"PRESIDÊNCIA";NA;0
67990;"CORREGEDORIA/VICE-PRESIDÊNCIA";NA;0,8
67992;"GABINETE DO JUIZ DE DIREITO FEDERAL";NA;0,625
67993;"GABINETE DO JUIZ DE DIREITO ESTADUAL 1";NA;1,15384615384615
67994;"GABINETE DO JUIZ DE DIREITO ESTADUAL 2";NA;0,612903225806452
67995;"GABINETE DO JURISTA 1";NA;0,466666666666667
67996;"GABINETE DO JURISTA 2";NA;1,71428571428571
67991;"SECRETARIA JUDICIÁRIA";NA;NA
67988;"CORTE ELEITORAL";NA;NA
67981;"2ª ZONA ELEITORAL";3;NA
